"","names","rating","sex","times"
"529","Fish Called Wanda, A (1988)",3.78461538461538,"F",247
"539","Fly Away Home (1996)",3.6271186440678,"F",330
"552","Forrest Gump (1994)",3.77215189873418,"F",963
"555","Four Weddings and a Funeral (1994)",3.63492063492063,"F",502
"568","Frighteners, The (1996)",3,"F",230
"570","From Dusk Till Dawn (1996)",2.84615384615385,"F",460
"571","Fugitive, The (1993)",4.16666666666667,"F",672
"572","Full Metal Jacket (1987)",3.17391304347826,"F",510
"573","Full Monty, The (1997)",4.02040816326531,"F",315
"578","G.I. Jane (1997)",3.58333333333333,"F",525
"580","Game, The (1997)",3.48387096774194,"F",502
"586","Gattaca (1997)",3.43333333333333,"F",408
"588","George of the Jungle (1997)",2.72,"F",324
"593","Get Shorty (1995)",3.4,"F",627
"597","Ghost (1990)",3.8,"F",510
"599","Ghost and the Darkness, The (1996)",3.38888888888889,"F",256
"611","Glory (1989)",4.14285714285714,"F",513
"613","Godfather, The (1972)",4.13333333333333,"F",1239
"614","Godfather: Part II, The (1974)",3.925,"F",627
"617","GoldenEye (1995)",3.36842105263158,"F",393
"619","Gone with the Wind (1939)",4.14814814814815,"F",513
"622","Good, The Bad and The Ugly, The (1966)",3.1875,"F",274
"623","GoodFellas (1990)",3.76315789473684,"F",452
"627","Graduate, The (1967)",4.25,"F",478
"631","Grease (1978)",3.75438596491228,"F",510
"635","Great Escape, The (1963)",3.95652173913043,"F",248
"640","Grifters, The (1990)",3.1875,"F",267
"642","Grosse Pointe Blank (1997)",3.61363636363636,"F",320
"643","Groundhog Day (1993)",3.61194029850746,"F",560
"644","Grumpier Old Men (1995)",3.44736842105263,"F",296
"666","Heat (1995)",3.42105263157895,"F",669
"670","Heavenly Creatures (1994)",3.66666666666667,"F",210
"672","Heavy Metal (1981)",3.25,"F",365
"677","Henry V (1989)",4.25714285714286,"F",248
"679","Hercules (1997)",3.66666666666667,"F",330
"685","Highlander (1986)",3.2962962962963,"F",306
"690","Home Alone (1990)",2.93939393939394,"F",274
"695","Hoodlum (1997)",3.05555555555556,"F",219
"700","Hot Shots! Part Deux (1993)",2.71428571428571,"F",204
"711","Hudsucker Proxy, The (1994)",3.39130434782609,"F",220
"713","Hunchback of Notre Dame, The (1996)",3.45714285714286,"F",381
"715","Hunt for Red October, The (1990)",4.02380952380952,"F",454
"721","I Know What You Did Last Summer (1997)",3.1875,"F",300
"733","In & Out (1997)",3.58666666666667,"F",230
"739","In the Line of Fire (1993)",3.94285714285714,"F",338
"744","Independence Day (ID4) (1996)",3.68867924528302,"F",1287
"747","Indiana Jones and the Last Crusade (1989)",3.92307692307692,"F",662
"753","Interview with the Vampire (1994)",3.25641025641026,"F",274
"761","It's a Wonderful Life (1946)",4.28813559322034,"F",231
"766","Jackie Brown (1997)",3.30434782608696,"F",252
"769","James and the Giant Peach (1996)",2.97142857142857,"F",378
"772","Jaws (1975)",3.578125,"F",560
"779","Jerry Maguire (1996)",3.72413793103448,"F",768
"792","Jumanji (1995)",3.44444444444444,"F",480
"793","Jungle Book, The (1994)",3.77777777777778,"F",255
"794","Jungle2Jungle (1997)",2.67391304347826,"F",264
"797","Jurassic Park (1993)",3.61290322580645,"F",783
"815","Killing Fields, The (1984)",4.06451612903226,"F",242
"823","Kiss the Girls (1997)",3.66666666666667,"F",429
"829","L.A. Confidential (1997)",4.05263157894737,"F",1188
"842","Last of the Mohicans, The (1992)",3.46666666666667,"F",384
"851","Lawrence of Arabia (1962)",3.90625,"F",346
"855","Leaving Las Vegas (1995)",3.6,"F",596
"857","Legends of the Fall (1994)",3.56666666666667,"F",324
"860","Liar Liar (1997)",3.09929078014184,"F",485
"865","Like Water For Chocolate (Como agua para chocolate) (1992)",3.75,"F",296
"867","Lion King, The (1994)",3.90769230769231,"F",660
"883","Lone Star (1996)",4.10869565217391,"F",374
"884","Long Kiss Goodnight, The (1996)",3.46666666666667,"F",370
"892","Lost World: Jurassic Park, The (1997)",3.05263157894737,"F",632
"910","M*A*S*H (1970)",3.85416666666667,"F",412
"921","Magnificent Seven, The (1954)",3.55,"F",363
"925","Maltese Falcon, The (1941)",3.93939393939394,"F",276
"935","Manchurian Candidate, The (1962)",4.30434782608696,"F",262
"936","Manhattan (1979)",3.65217391304348,"F",273
"944","Mars Attacks! (1996)",2.77272727272727,"F",868
"946","Mary Poppins (1964)",3.78947368421053,"F",534
"949","Mask, The (1994)",3.30769230769231,"F",387
"953","Maverick (1994)",3.57142857142857,"F",384
"962","Men in Black (1997)",3.65,"F",1212
"970","Michael (1996)",3.67441860465116,"F",238
"974","Midnight in the Garden of Good and Evil (1997)",3.39285714285714,"F",320
"981","Mimic (1997)",2.33333333333333,"F",202
"986","Mission: Impossible (1996)",3.48717948717949,"F",1032
"995","Monty Python and the Holy Grail (1974)",3.86363636363636,"F",316
"1004","Mr. Holland's Opus (1995)",3.94565217391304,"F",293
"1015","Much Ado About Nothing (1993)",4.38181818181818,"F",352
"1016","Mulholland Falls (1996)",2.71428571428571,"F",246
"1018","Muppet Treasure Island (1996)",3.18181818181818,"F",420
"1020","Murder at 1600 (1997)",3.11290322580645,"F",436
"1023","Muriel's Wedding (1994)",3.53846153846154,"F",200
"1025","My Best Friend's Wedding (1997)",3.38983050847458,"F",344
"1027","My Fair Lady (1964)",4.23809523809524,"F",250
"1037","Mystery Science Theater 3000: The Movie (1996)",3.33333333333333,"F",260
"1043","Natural Born Killers (1994)",2.8695652173913,"F",256
"1048","Net, The (1995)",3.48275862068966,"F",240
"1063","Nightmare Before Christmas, The (1993)",3.73529411764706,"F",429
"1077","North by Northwest (1959)",4.12820512820513,"F",358
"1085","Nutty Professor, The (1996)",2.87179487179487,"F",652
"1101","One Fine Day (1996)",3.46808510638298,"F",224
"1102","One Flew Over the Cuckoo's Nest (1975)",4.15,"F",264
"1113","Outbreak (1995)",3.21739130434783,"F",312
"1132","Patton (1970)",3.47619047619048,"F",272
"1133","Peacemaker, The (1997)",3.64285714285714,"F",408
"1135","People vs. Larry Flynt, The (1996)",3.44,"F",215
"1146","Phenomenon (1996)",3.72222222222222,"F",488
"1148","Philadelphia Story, The (1940)",4.28125,"F",208
"1149","Piano, The (1993)",3.89583333333333,"F",336
"1155","Pink Floyd - The Wall (1982)",3.12,"F",342
"1156","Pinocchio (1940)",3.48275862068966,"F",202
"1157","Platoon (1986)",3.54545454545455,"F",254
"1159","Pocahontas (1995)",2.76923076923077,"F",204
"1167","Postino, Il (1994)",3.89090909090909,"F",366
"1173","Pretty Woman (1990)",3.50943396226415,"F",328
"1176","Primal Fear (1996)",3.58,"F",356
"1178","Princess Bride, The (1987)",4.04494382022472,"F",1296
"1182","Private Parts (1997)",3.26086956521739,"F",200
"1183","Professional, The (1994)",3.56,"F",596
"1189","Psycho (1960)",4.12903225806452,"F",717
"1190","Pulp Fiction (1994)",3.91666666666667,"F",788
"1205","Raiders of the Lost Ark (1981)",4.08421052631579,"F",840
"1208","Raising Arizona (1987)",4.01694915254237,"F",256
"1210","Ransom (1996)",3.63888888888889,"F",534
"1215","Rear Window (1954)",4.35185185185185,"F",418
"1231","Reservoir Dogs (1992)",3.43333333333333,"F",296
"1234","Return of the Jedi (1983)",4.00806451612903,"F",2535
"1244","River Wild, The (1994)",3.28947368421053,"F",292
"1246","Rob Roy (1995)",3.57692307692308,"F",276
"1251","Rock, The (1996)",3.87912087912088,"F",1134
"1257","Room with a View, A (1986)",4.15217391304348,"F",268
"1266","Rumble in the Bronx (1995)",3.25,"F",522
"1270","Sabrina (1995)",3.671875,"F",380
"1274","Saint, The (1997)",3.24705882352941,"F",948
"1281","Schindler's List (1993)",4.63291139240506,"F",596
"1284","Scream (1996)",3.34265734265734,"F",956
"1285","Scream 2 (1997)",3.62962962962963,"F",212
"1297","Sense and Sensibility (1995)",4.25263157894737,"F",536
"1301","Seven (Se7en) (1995)",3.77358490566038,"F",472
"1302","Seven Years in Tibet (1997)",3.67272727272727,"F",310
"1317","Shawshank Redemption, The (1994)",4.5625,"F",283
"1321","Shine (1996)",4,"F",258
"1322","Shining, The (1980)",3.82352941176471,"F",206
"1329","Silence of the Lambs, The (1991)",4.32,"F",780
"1333","Singin' in the Rain (1952)",3.83333333333333,"F",274
"1338","Sleepers (1996)",3.66666666666667,"F",338
"1339","Sleepless in Seattle (1993)",3.64705882352941,"F",426
"1342","Sling Blade (1996)",4.41176470588235,"F",272
"1349","Sneakers (1992)",3.70588235294118,"F",450
"1350","Snow White and the Seven Dwarfs (1937)",3.74,"F",516
"1352","So I Married an Axe Murderer (1993)",3.17857142857143,"F",285
"1356","Some Like It Hot (1959)",4,"F",256
"1365","Sound of Music, The (1965)",4.16,"F",222
"1366","Space Jam (1996)",2.66666666666667,"F",465
"1369","Spawn (1997)",2.39285714285714,"F",572
"1373","Speed (1994)",3.71698113207547,"F",690
"1386","Stand by Me (1986)",3.79032258064516,"F",681
"1390","Star Trek III: The Search for Spock (1984)",2.92307692307692,"F",513
"1391","Star Trek IV: The Voyage Home (1986)",3.11428571428571,"F",597
"1393","Star Trek VI: The Undiscovered Country (1991)",3.17391304347826,"F",483
"1394","Star Trek: First Contact (1996)",3.83561643835616,"F",1095
"1395","Star Trek: Generations (1994)",3.58333333333333,"F",348
"1396","Star Trek: The Motion Picture (1979)",2.86666666666667,"F",351
"1397","Star Trek: The Wrath of Khan (1982)",3.38297872340426,"F",732
"1398","Star Wars (1977)",4.24503311258278,"F",2915
"1399","Stargate (1994)",3.11111111111111,"F",381
"1401","Starship Troopers (1997)",2.97142857142857,"F",844
"1407","Sting, The (1973)",3.96551724137931,"F",482
"1410","Strange Days (1995)",3.06666666666667,"F",261
"1416","Strictly Ballroom (1992)",3.97297297297297,"F",208
"1441","Swingers (1996)",3.69230769230769,"F",314
"1456","Taxi Driver (1976)",4.17241379310345,"F",364
"1460","Terminator 2: Judgment Day (1991)",3.83333333333333,"F",885
"1461","Terminator, The (1984)",3.52459016393443,"F",903
"1477","Things to Do in Denver when You're Dead (1995)",2.72727272727273,"F",213
"1481","This Is Spinal Tap (1984)",3.88888888888889,"F",573
"1488","Three Musketeers, The (1993)",3.5,"F",267
"1494","Time to Kill, A (1996)",3.79365079365079,"F",232
"1497","Tin Cup (1996)",3.37735849056604,"F",386
"1500","Titanic (1997)",4.27884615384615,"F",1050
"1507","To Kill a Mockingbird (1962)",4.34782608695652,"F",219
"1515","Tomorrow Never Dies (1997)",3.36842105263158,"F",540
"1516","Top Gun (1986)",3.58333333333333,"F",440
"1523","Toy Story (1995)",3.78991596638655,"F",1356
"1524","Trainspotting (1996)",3.82,"F",250
"1533","True Lies (1994)",3.5,"F",832
"1534","True Romance (1993)",3,"F",312
"1537","Truth About Cats & Dogs, The (1996)",3.69072164948454,"F",544
"1543","Twelve Monkeys (1995)",3.5609756097561,"F",784
"1547","Twister (1996)",3.25301204819277,"F",879
"1572","Usual Suspects, The (1995)",4.33333333333333,"F",534
"1580","Vertigo (1958)",4.07317073170732,"F",358
"1588","Volcano (1997)",3.09259259259259,"F",438
"1589","Wag the Dog (1997)",3.31578947368421,"F",274
"1603","Waterworld (1995)",2.26315789473684,"F",204
"1609","Welcome to the Dollhouse (1995)",3.8,"F",224
"1613","What's Eating Gilbert Grape (1993)",3.66666666666667,"F",230
"1616","When Harry Met Sally... (1989)",3.98850574712644,"F",580
"1620","While You Were Sleeping (1995)",3.63793103448276,"F",324
"1632","William Shakespeare's Romeo and Juliet (1996)",3.71428571428571,"F",212
"1633","Willy Wonka and the Chocolate Factory (1971)",3.75268817204301,"F",978
"1637","Wings of the Dove, The (1997)",3.96969696969697,"F",225
"1644","Wizard of Oz, The (1939)",4.15942028985507,"F",984
"1652","Wrong Trousers, The (1993)",4.44444444444444,"F",236
"1657","Young Frankenstein (1974)",4.02380952380952,"F",400
"1658","Young Guns (1988)",3.23076923076923,"F",303
"1665","101 Dalmatians (1996)",2.77272727272727,"M",218
"1669","20,000 Leagues Under the Sea (1954)",3.56896551724138,"M",288
"1670","2001: A Space Odyssey (1968)",4.1039603960396,"M",1036
"1678","Absolute Power (1997)",3.34375,"M",254
"1679","Abyss, The (1989)",3.54032258064516,"M",604
"1687","Adventures of Priscilla, Queen of the Desert, The (1994)",3.55223880597015,"M",222
"1690","African Queen, The (1951)",4.24561403508772,"M",608
"1695","Air Force One (1997)",3.60655737704918,"M",862
"1698","Akira (1988)",3.42857142857143,"M",200
"1699","Aladdin (1992)",3.7625,"M",876
"1703","Alice in Wonderland (1951)",3.62,"M",243
"1704","Alien (1979)",4.12340425531915,"M",1164
"1705","Alien 3 (1992)",2.85393258426966,"M",400
"1706","Alien: Resurrection (1997)",3.15,"M",372
"1707","Aliens (1986)",4.01310043668122,"M",1136
"1713","Amadeus (1984)",4.21105527638191,"M",552
"1719","American President, The (1995)",3.58119658119658,"M",492
"1745","Annie Hall (1977)",3.88235294117647,"M",360
"1750","Apocalypse Now (1979)",4.07692307692308,"M",442
"1751","Apollo 13 (1995)",3.90995260663507,"M",828
"1755","Apt Pupil (1998)",4.17241379310345,"M",320
"1757","Army of Darkness (1993)",3.46601941747573,"M",580
"1759","Arrival, The (1996)",3.02739726027397,"M",249
"1760","Arsenic and Old Lace (1944)",4.0125,"M",345
"1761","As Good As It Gets (1997)",4.22619047619048,"M",224
"1772","Babe (1995)",3.9748427672956,"M",657
"1776","Back to the Future (1985)",3.85769230769231,"M",700
"1790","Basic Instinct (1992)",3.18987341772152,"M",202
"1794","Batman (1989)",3.4125,"M",804
"1796","Batman Forever (1995)",2.53846153846154,"M",456
"1797","Batman Returns (1992)",2.64102564102564,"M",568
"1805","Beauty and the Beast (1991)",3.73049645390071,"M",606
"1806","Beavis and Butt-head Do America (1996)",2.89763779527559,"M",312
"1816","Ben-Hur (1959)",3.96808510638298,"M",372
"1817","Benny & Joon (1993)",3.47692307692308,"M",204
"1841","Birdcage, The (1996)",3.34634146341463,"M",293
"1847","Blade Runner (1982)",4.17180616740088,"M",550
"1862","Blues Brothers, The (1980)",3.84878048780488,"M",753
"1866","Body Snatchers (1993)",3.11320754716981,"M",201
"1869","Bonnie and Clyde (1967)",3.76923076923077,"M",244
"1872","Boot, Das (1981)",4.22981366459627,"M",603
"1875","Bound (1996)",3.875,"M",516
"1886","Bram Stoker's Dracula (1992)",3.16304347826087,"M",240
"1888","Braveheart (1995)",4.15811965811966,"M",891
"1889","Brazil (1985)",3.85632183908046,"M",208
"1895","Bridge on the River Kwai, The (1957)",4.30769230769231,"M",330
"1898","Broken Arrow (1996)",2.98514851485149,"M",508
"1912","Butch Cassidy and the Sundance Kid (1969)",3.97058823529412,"M",648
"1936","Casablanca (1942)",4.47340425531915,"M",729
"1951","Chain Reaction (1996)",2.66153846153846,"M",240
"1956","Chasing Amy (1997)",3.80851063829787,"M",612
"1959","Chinatown (1974)",4.15384615384615,"M",441
"1963","Cinderella (1950)",3.43529411764706,"M",387
"1964","Cinema Paradiso (1988)",4.19318181818182,"M",363
"1975","Clear and Present Danger (1994)",3.56849315068493,"M",537
"1977","Client, The (1994)",3.3030303030303,"M",291
"1978","Cliffhanger (1993)",2.98717948717949,"M",279
"1980","Clockwork Orange, A (1971)",4.01675977653631,"M",221
"1981","Close Shave, A (1995)",4.46236559139785,"M",336
"1990","Con Air (1997)",3.43119266055046,"M",411
"1991","Conan the Barbarian (1981)",3.13333333333333,"M",214
"1995","Conspiracy Theory (1997)",3.41904761904762,"M",1180
"1996","Contact (1997)",3.84677419354839,"M",1018
"2000","Cool Hand Luke (1967)",4.07407407407407,"M",328
"2002","Cop Land (1997)",3.45522388059702,"M",525
"2004","Copycat (1995)",3.140625,"M",258
"2008","Courage Under Fire (1996)",3.5679012345679,"M",442
"2010","Craft, The (1996)",3.01388888888889,"M",208
"2011","Crash (1996)",2.55670103092783,"M",256
"2012","Crimson Tide (1995)",3.62595419847328,"M",462
"2018","Crow, The (1994)",3.44247787610619,"M",402
"2025","Crying Game, The (1992)",3.50574712643678,"M",476
"2036","Dances with Wolves (1990)",3.77005347593583,"M",768
"2041","Dante's Peak (1997)",2.88622754491018,"M",480
"2043","Dave (1993)",3.61363636363636,"M",360
"2052","Dead Man Walking (1995)",3.88425925925926,"M",299
"2053","Dead Poets Society (1989)",3.91397849462366,"M",251
"2062","Deer Hunter, The (1978)",3.8921568627451,"M",240
"2069","Desperado (1995)",3.46428571428571,"M",291
"2072","Devil in a Blue Dress (1995)",3.48888888888889,"M",228
"2073","Devil's Advocate, The (1997)",3.51111111111111,"M",752
"2074","Devil's Own, The (1997)",3.0887573964497,"M",960
"2077","Die Hard (1988)",3.90816326530612,"M",486
"2078","Die Hard 2 (1990)",3.36428571428571,"M",332
"2079","Die Hard: With a Vengeance (1995)",3.312,"M",302
"2084","Diva (1981)",3.86274509803922,"M",330
"2086","Don Juan DeMarco (1995)",3.68181818181818,"M",228
"2088","Donnie Brasco (1997)",3.85585585585586,"M",294
"2096","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",4.24705882352941,"M",388
"2098","Dragonheart (1996)",3.12295081967213,"M",474
"2106","Dumbo (1941)",3.43956043956044,"M",369
"2109","E.T. the Extra-Terrestrial (1982)",3.83098591549296,"M",1200
"2113","Ed Wood (1994)",3.58,"M",266
"2116","Edge, The (1997)",3.6547619047619,"M",226
"2118","Emma (1996)",3.62037037037037,"M",354
"2119","Empire Strikes Back, The (1980)",4.27898550724638,"M",2202
"2123","English Patient, The (1996)",3.58662613981763,"M",1443
"2126","Eraser (1996)",3.12345679012346,"M",412
"2127","Escape from L.A. (1996)",2.41975308641975,"M",364
"2128","Escape from New York (1981)",3.3,"M",364
"2134","Event Horizon (1997)",2.61386138613861,"M",508
"2137","Everyone Says I Love You (1996)",3.27927927927928,"M",504
"2138","Evil Dead II (1987)",3.55696202531646,"M",356
"2139","Evita (1996)",2.94318181818182,"M",518
"2141","Executive Decision (1996)",3.304,"M",314
"2147","Face/Off (1997)",3.75172413793103,"M",582
"2157","Fantasia (1940)",3.68292682926829,"M",522
"2161","Fargo (1996)",4.20104438642298,"M",1524
"2180","Field of Dreams (1989)",3.65131578947368,"M",212
"2182","Fifth Element, The (1997)",3.57232704402516,"M",394
"2187","Firm, The (1993)",3.27826086956522,"M",302
"2189","First Knight (1995)",2.74603174603175,"M",344
"2191","Fish Called Wanda, A (1988)",3.78571428571429,"M",247
"2201","Fly Away Home (1996)",3.5377358490566,"M",330
"2214","Forrest Gump (1994)",3.8801652892562,"M",963
"2217","Four Weddings and a Funeral (1994)",3.67021276595745,"M",502
"2230","Frighteners, The (1996)",3.31395348837209,"M",230
"2232","From Dusk Till Dawn (1996)",3.16455696202532,"M",460
"2233","Fugitive, The (1993)",4.01136363636364,"M",672
"2234","Full Metal Jacket (1987)",3.76190476190476,"M",510
"2235","Full Monty, The (1997)",3.88479262672811,"M",315
"2240","G.I. Jane (1997)",3.2755905511811,"M",525
"2242","Game, The (1997)",3.62962962962963,"M",502
"2248","Gattaca (1997)",3.64150943396226,"M",408
"2250","George of the Jungle (1997)",2.66964285714286,"M",324
"2255","Get Shorty (1995)",3.59146341463415,"M",627
"2259","Ghost (1990)",3.28181818181818,"M",510
"2261","Ghost and the Darkness, The (1996)",3.1304347826087,"M",256
"2273","Glory (1989)",4.05882352941176,"M",513
"2275","Godfather, The (1972)",4.33441558441558,"M",1239
"2276","Godfather: Part II, The (1974)",4.24852071005917,"M",627
"2279","GoldenEye (1995)",3.17857142857143,"M",393
"2281","Gone with the Wind (1939)",3.74358974358974,"M",513
"2284","Good, The Bad and The Ugly, The (1966)",3.9504132231405,"M",274
"2285","GoodFellas (1990)",3.98936170212766,"M",452
"2289","Graduate, The (1967)",4.05142857142857,"M",478
"2293","Grease (1978)",3.14159292035398,"M",510
"2297","Great Escape, The (1963)",4.13861386138614,"M",248
"2302","Grifters, The (1990)",3.54794520547945,"M",267
"2304","Grosse Pointe Blank (1997)",3.69827586206897,"M",320
"2305","Groundhog Day (1993)",3.81220657276995,"M",560
"2306","Grumpier Old Men (1995)",2.9,"M",296
"2328","Heat (1995)",3.6,"M",669
"2332","Heavenly Creatures (1994)",3.67307692307692,"M",210
"2334","Heavy Metal (1981)",3.26229508196721,"M",365
"2339","Henry V (1989)",4.08988764044944,"M",248
"2341","Hercules (1997)",3.44444444444444,"M",330
"2347","Highlander (1986)",3.58730158730159,"M",306
"2352","Home Alone (1990)",3.13461538461538,"M",274
"2357","Hoodlum (1997)",2.89090909090909,"M",219
"2362","Hot Shots! Part Deux (1993)",2.77777777777778,"M",204
"2373","Hudsucker Proxy, The (1994)",3.59770114942529,"M",220
"2375","Hunchback of Notre Dame, The (1996)",3.34782608695652,"M",381
"2377","Hunt for Red October, The (1990)",3.82702702702703,"M",454
"2383","I Know What You Did Last Summer (1997)",3,"M",300
"2395","In & Out (1997)",3.16774193548387,"M",230
"2401","In the Line of Fire (1993)",3.75373134328358,"M",338
"2406","Independence Day (ID4) (1996)",3.35603715170279,"M",1287
"2409","Indiana Jones and the Last Crusade (1989)",3.93280632411067,"M",662
"2415","Interview with the Vampire (1994)",3.1530612244898,"M",274
"2423","It's a Wonderful Life (1946)",4.06395348837209,"M",231
"2428","Jackie Brown (1997)",3.71844660194175,"M",252
"2431","James and the Giant Peach (1996)",3.18681318681319,"M",378
"2434","Jaws (1975)",3.83333333333333,"M",560
"2441","Jerry Maguire (1996)",3.70522388059702,"M",768
"2454","Jumanji (1995)",3.26086956521739,"M",480
"2455","Jungle Book, The (1994)",3.46551724137931,"M",255
"2456","Jungle2Jungle (1997)",2.31395348837209,"M",264
"2459","Jurassic Park (1993)",3.75376884422111,"M",783
