"","Var1","Freq"
"72","Andre (1994)",36
"73","Angel and the Badman (1947)",6
"74","Angel Baby (1995)",4
"75","Angel on My Shoulder (1946)",2
"76","Angela (1995)",1
"77","Angels and Insects (1995)",144
"78","Angels in the Outfield (1994)",78
"79","Angus (1995)",14
"80","Anna (1996)",2
"81","Anna Karenina (1997)",66
"82","Anne Frank Remembered (1995)",21
"83","Annie Hall (1977)",360
"84","Another Stakeout (1993)",56
"85","Antonia's Line (1995)",69
"86","Aparajito (1956)",7
"87","Apartment, The (1960)",126
"88","Apocalypse Now (1979)",442
"89","Apollo 13 (1995)",828
"90","Apostle, The (1997)",55
"91","Apple Dumpling Gang, The (1975)",75
"92","April Fool's Day (1986)",30
"93","Apt Pupil (1998)",320
"94","Aristocats, The (1970)",108
"95","Army of Darkness (1993)",580
"96","Around the World in 80 Days (1956)",118
"97","Arrival, The (1996)",249
"98","Arsenic and Old Lace (1944)",345
"99","As Good As It Gets (1997)",224
"100","Assassins (1995)",39
"101","Assignment, The (1997)",18
"102","Associate, The (1996)",41
"103","Audrey Rose (1977)",12
"104","August (1996)",1
"105","Austin Powers: International Man of Mystery (1997)",130
"106","Awfully Big Adventure, An (1995)",8
"107","Ayn Rand: A Sense of Life (1997)",7
"108","B. Monkey (1998)",2
"109","B*A*P*S (1997)",3
"110","Babe (1995)",657
"111","Baby-Sitters Club, The (1995)",10
"112","Babyfever (1994)",4
"113","Babysitter, The (1995)",6
"114","Back to the Future (1985)",700
"115","Backbeat (1993)",38
"116","Bad Boys (1995)",57
"117","Bad Company (1995)",9
"118","Bad Girls (1994)",6
"119","Bad Moon (1996)",6
"120","Bad Taste (1987)",32
"121","Ballad of Narayama, The (Narayama Bushiko) (1958)",4
"122","Balto (1995)",32
"123","Bananas (1971)",114
"124","Band Wagon, The (1953)",18
"125","Barb Wire (1996)",60
"126","Barbarella (1968)",56
"127","Barcelona (1994)",106
"128","Basic Instinct (1992)",202
"129","Basketball Diaries, The (1995)",40
"130","Basquiat (1996)",44
"131","Bastard Out of Carolina (1996)",16
"132","Batman (1989)",804
"133","Batman & Robin (1997)",186
"134","Batman Forever (1995)",456
"135","Batman Returns (1992)",568
"136","Baton Rouge (1988)",1
"137","Bean (1997)",91
"138","Beans of Egypt, Maine, The (1994)",2
"139","Beat the Devil (1954)",14
"140","Beautician and the Beast, The (1997)",172
"141","Beautiful Girls (1996)",115
"142","Beautiful Thing (1996)",58
"143","Beauty and the Beast (1991)",606
"144","Beavis and Butt-head Do America (1996)",312
"145","Bed of Roses (1996)",120
"146","Bedknobs and Broomsticks (1971)",171
"147","Before and After (1996)",52
"148","Before Sunrise (1995)",98
"149","Before the Rain (Pred dozhdot) (1994)",10
"150","Being Human (1993)",4
"151","Being There (1979)",116
"152","Believers, The (1987)",32
"153","Belle de jour (1967)",37
"154","Ben-Hur (1959)",372
"155","Benny & Joon (1993)",204
"156","Bent (1997)",12
"157","Best Men (1997)",20
"158","Best of the Best 3: No Turning Back (1995)",6
"159","Better Off Dead... (1985)",79
"160","Beverly Hillbillies, The (1993)",20
"161","Beverly Hills Cop III (1994)",56
"162","Beverly Hills Ninja (1997)",96
"163","Bewegte Mann, Der (1994)",3
"164","Beyond Bedlam (1993)",4
"165","Beyond Rangoon (1995)",18
"166","Bhaji on the Beach (1993)",16
"167","Big Bang Theory, The (1994)",1
"168","Big Blue, The (Grand bleu, Le) (1988)",34
"169","Big Bully (1996)",28
"170","Big Green, The (1995)",28
"171","Big Lebowski, The (1998)",168
"172","Big Night (1996)",171
"173","Big One, The (1997)",2
"174","Big Sleep, The (1946)",146
"175","Big Squeeze, The (1996)",8
"176","Billy Madison (1995)",37
"177","Bio-Dome (1996)",31
"178","Bird of Prey (1996)",1
"179","Birdcage, The (1996)",293
"180","Birds, The (1963)",162
"181","Bitter Moon (1992)",10
"182","Bitter Sugar (Azucar Amargo) (1996)",3
"183","Black Beauty (1994)",54
"184","Black Sheep (1996)",55
"185","Blade Runner (1982)",550
"186","Blink (1994)",19
"187","Bliss (1997)",14
"188","Blob, The (1958)",92
"189","Blood & Wine (1997)",22
"190","Blood Beach (1981)",12
"191","Blood For Dracula (Andy Warhol's Dracula) (1974)",5
"192","Bloodsport 2 (1995)",10
"193","Bloody Child, The (1996)",2
"194","Blown Away (1994)",58
"195","Blue Angel, The (Blaue Engel, Der) (1930)",18
"196","Blue Chips (1994)",9
"197","Blue in the Face (1995)",45
"198","Blue Sky (1994)",24
"199","Blues Brothers 2000 (1998)",84
"200","Blues Brothers, The (1980)",753
"201","Bob Roberts (1992)",85
"202","Body Parts (1991)",13
"203","Body Snatcher, The (1945)",22
"204","Body Snatchers (1993)",201
"205","Bogus (1996)",66
"206","Bonheur, Le (1965)",4
"207","Bonnie and Clyde (1967)",244
"208","Boogie Nights (1997)",189
"209","Boomerang (1992)",64
"210","Boot, Das (1981)",603
"211","Booty Call (1997)",96
"212","Bottle Rocket (1996)",44
"213","Bound (1996)",516
"214","Boxing Helena (1993)",45
"215","Boy's Life 2 (1997)",6
"216","Boys (1996)",6
"217","Boys in Venice (1996)",2
"218","Boys Life (1995)",5
"219","Boys of St. Vincent, The (1993)",13
"220","Boys on the Side (1995)",68
"221","Boys, Les (1997)",3
"222","Brady Bunch Movie, The (1995)",76
"223","Braindead (1992)",28
"224","Bram Stoker's Dracula (1992)",240
"225","Brassed Off (1996)",96
"226","Braveheart (1995)",891
"227","Brazil (1985)",208
"228","Bread and Chocolate (Pane e cioccolata) (1973)",12
"229","Breakdown (1997)",154
"230","Breakfast at Tiffany's (1961)",190
"231","Breaking the Waves (1996)",74
"232","Bride of Frankenstein (1935)",46
"233","Bridge on the River Kwai, The (1957)",330
"234","Bridges of Madison County, The (1995)",134
"235","Bringing Up Baby (1938)",68
"236","Broken Arrow (1996)",508
"237","Broken English (1996)",8
"238","Bronx Tale, A (1993)",48
"239","Brother Minister: The Assassination of Malcolm X (1994)",5
"240","Brother's Kiss, A (1997)",1
"241","Brothers in Trouble (1995)",1
"242","Brothers McMullen, The (1995)",73
"243","Browning Version, The (1994)",10
"244","Buddy (1997)",12
"245","Bulletproof (1996)",49
"246","Bullets Over Broadway (1994)",86
"247","Burnt By the Sun (1994)",24
"248","Burnt Offerings (1976)",9
"249","Bushwhacked (1995)",7
"250","Butch Cassidy and the Sundance Kid (1969)",648
"251","Butcher Boy, The (1998)",1
"252","Butterfly Kiss (1995)",1
"253","Bye Bye, Love (1995)",15
"254","C'est arrivé près de chez vous (1992)",12
"255","Cabin Boy (1994)",16
"256","Cable Guy, The (1996)",106
"257","Calendar Girl (1993)",3
"258","Canadian Bacon (1994)",58
"259","Candidate, The (1972)",39
"260","Candyman (1992)",65
"261","Candyman: Farewell to the Flesh (1995)",21
"262","Cape Fear (1962)",172
"263","Cape Fear (1991)",171
"264","Captives (1994)",3
"265","Career Girls (1997)",39
"266","Careful (1992)",1
"267","Carlito's Way (1993)",108
"268","Carmen Miranda: Bananas Is My Business (1994)",2
"269","Caro Diario (Dear Diary) (1994)",8
"270","Carpool (1996)",10
"271","Carrie (1976)",121
"272","Carried Away (1996)",22
"273","Carrington (1995)",26
"274","Casablanca (1942)",729
"275","Casino (1995)",91
"276","Casper (1995)",104
"277","Castle Freak (1995)",4
"278","Cat on a Hot Tin Roof (1958)",62
"279","Cat People (1982)",48
"280","Cats Don't Dance (1997)",96
"281","Catwalk (1995)",3
"282","Caught (1996)",16
"283","Celestial Clockwork (1994)",2
"284","Celluloid Closet, The (1995)",56
"285","Celtic Pride (1996)",15
"286","Cement Garden, The (1993)",10
"287","Cemetery Man (Dellamorte Dellamore) (1994)",46
"288","Century (1993)",1
"289","Chain Reaction (1996)",240
"290","Chairman of the Board (1998)",8
"291","Chamber, The (1996)",43
"292","Charade (1963)",160
"293","Chasers (1994)",5
"294","Chasing Amy (1997)",612
"295","Children of the Corn: The Gathering (1996)",19
"296","Children of the Revolution (1996)",5
"297","Chinatown (1974)",441
"298","Christmas Carol, A (1938)",69
"299","Chungking Express (1994)",84
"300","Ciao, Professore! (1993)",4
"301","Cinderella (1950)",387
"302","Cinema Paradiso (1988)",363
"303","Circle of Friends (1995)",152
"304","Citizen Kane (1941)",198
"305","Citizen Ruth (1996)",90
"306","City Hall (1996)",158
"307","City of Angels (1998)",8
"308","City of Industry (1997)",12
"309","City of Lost Children, The (1995)",192
"310","City Slickers II: The Legend of Curly's Gold (1994)",88
"311","Clean Slate (1994)",10
"312","Clean Slate (Coup de Torchon) (1981)",4
"313","Clear and Present Danger (1994)",537
"314","Clerks (1994)",148
"315","Client, The (1994)",291
"316","Cliffhanger (1993)",279
"317","Clockers (1995)",33
"318","Clockwork Orange, A (1971)",221
"319","Close Shave, A (1995)",336
"320","Clueless (1995)",170
"321","Cobb (1994)",15
"322","Cold Comfort Farm (1995)",125
"323","Coldblooded (1995)",1
"324","Collectionneuse, La (1967)",2
"325","Colonel Chabert, Le (1994)",12
"326","Color of Night (1994)",30
"327","Commandments (1997)",3
"328","Con Air (1997)",411
"329","Conan the Barbarian (1981)",214
"330","Condition Red (1995)",6
"331","Coneheads (1993)",82
"332","Congo (1995)",168
"333","Conspiracy Theory (1997)",1180
"334","Contact (1997)",1018
"335","Contempt (Mépris, Le) (1963)",9
"336","Convent, The (Convento, O) (1995)",2
"337","Cook the Thief His Wife & Her Lover, The (1989)",82
"338","Cool Hand Luke (1967)",328
"339","Cool Runnings (1993)",68
"340","Cop Land (1997)",525
"341","Cops and Robbersons (1994)",13
"342","Copycat (1995)",258
"343","Corrina, Corrina (1994)",117
"344","Cosi (1996)",4
"345","Country Life (1994)",4
"346","Courage Under Fire (1996)",442
"347","Cowboy Way, The (1994)",38
"348","Craft, The (1996)",208
"349","Crash (1996)",256
"350","Crimson Tide (1995)",462
"351","Critical Care (1997)",11
"352","Cronos (1992)",10
"353","Crooklyn (1994)",10
"354","Crossfire (1947)",8
"355","Crossing Guard, The (1995)",28
"356","Crow, The (1994)",402
"357","Crow: City of Angels, The (1996)",78
"358","Crows and Sparrows (1949)",2
"359","Crucible, The (1996)",77
"360","Crude Oasis, The (1995)",1
"361","Crumb (1994)",81
"362","Cry, the Beloved Country (1995)",24
"363","Crying Game, The (1992)",476
"364","Curdled (1996)",8
"365","Cure, The (1995)",6
"366","Cutthroat Island (1995)",54
"367","Cyclo (1995)",2
"368","Cyrano de Bergerac (1990)",198
"369","Cérémonie, La (1995)",3
"370","D3: The Mighty Ducks (1996)",38
"371","Dadetown (1995)",1
"372","Daens (1992)",1
"373","Damsel in Distress, A (1937)",3
"374","Dances with Wolves (1990)",768
"375","Dangerous Beauty (1998)",13
"376","Dangerous Ground (1997)",8
"377","Dangerous Minds (1995)",47
"378","Daniel Defoe's Robinson Crusoe (1996)",2
"379","Dante's Peak (1997)",480
"380","Dark City (1998)",48
"381","Dave (1993)",360
"382","Davy Crockett, King of the Wild Frontier (1955)",11
"383","Day the Earth Stood Still, The (1951)",194
"384","Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2
"385","Daylight (1996)",171
"386","Days of Thunder (1990)",106
"387","Daytrippers, The (1996)",15
"388","Dazed and Confused (1993)",64
"389","Dead Man (1995)",34
"390","Dead Man Walking (1995)",299
"391","Dead Poets Society (1989)",251
"392","Dead Presidents (1995)",54
"393","Dear God (1996)",12
"394","Death and the Maiden (1994)",56
"395","Death in Brunswick (1991)",1
"396","Death in the Garden (Mort en ce jardin, La) (1956)",1
"397","Deceiver (1997)",29
"398","Deconstructing Harry (1997)",130
"399","Deep Rising (1998)",42
"400","Deer Hunter, The (1978)",240
"401","Delicatessen (1991)",130
"402","Delta of Venus (1994)",2
"403","Demolition Man (1993)",184
"404","Denise Calls Up (1995)",7
"405","Desert Winds (1995)",1
"406","Designated Mourner, The (1997)",7
"407","Desperado (1995)",291
"408","Desperate Measures (1998)",168
"409","Destiny Turns on the Radio (1995)",2
"410","Devil in a Blue Dress (1995)",228
"411","Devil's Advocate, The (1997)",752
"412","Devil's Own, The (1997)",960
"413","Diabolique (1996)",142
"414","Dial M for Murder (1954)",136
"415","Die Hard (1988)",486
"416","Die Hard 2 (1990)",332
"417","Die Hard: With a Vengeance (1995)",302
"418","Die xue shuang xiong (Killer, The) (1989)",62
"419","Dingo (1992)",5
"420","Dirty Dancing (1987)",196
"421","Disclosure (1994)",80
"422","Diva (1981)",330
"423","Dolores Claiborne (1994)",158
"424","Don Juan DeMarco (1995)",228
"425","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",35
"426","Donnie Brasco (1997)",294
"427","Doom Generation, The (1995)",14
"428","Doors, The (1991)",92
"429","Double Happiness (1994)",7
"430","Double Team (1997)",13
"431","Double vie de Véronique, La (Double Life of Veronique, The) (1991)",22
"432","Down by Law (1986)",70
"433","Down Periscope (1996)",101
"434","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",388
"435","Dracula: Dead and Loving It (1995)",50
"436","Dragonheart (1996)",474
"437","Dream Man (1995)",2
"438","Dream With the Fishes (1997)",7
"439","Drop Dead Fred (1991)",48
"440","Drop Zone (1994)",31
"441","Drunks (1995)",5
"442","Duck Soup (1933)",186
"443","Dumb & Dumber (1994)",69
"444","Dumbo (1941)",369
"445","Dunston Checks In (1996)",7
"446","Duoluo tianshi (1995)",6
"447","E.T. the Extra-Terrestrial (1982)",1200
"448","East of Eden (1955)",59
"449","Eat Drink Man Woman (1994)",160
"450","Ed (1996)",6
"451","Ed Wood (1994)",266
"452","Ed's Next Move (1996)",3
"453","Eddie (1996)",40
"454","Edge, The (1997)",226
"455","Eighth Day, The (1996)",1
"456","Emma (1996)",354
"457","Empire Strikes Back, The (1980)",2202
"458","Enchanted April (1991)",70
"459","Endless Summer 2, The (1994)",10
"460","Enfer, L' (1994)",4
"461","English Patient, The (1996)",1443
"462","Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",64
"463","Entertaining Angels: The Dorothy Day Story (1996)",1
"464","Eraser (1996)",412
"465","Escape from L.A. (1996)",364
"466","Escape from New York (1981)",364
"467","Escape to Witch Mountain (1975)",90
"468","Etz Hadomim Tafus (Under the Domin Tree) (1994)",1
"469","Eve's Bayou (1997)",64
"470","Even Cowgirls Get the Blues (1993)",10
"471","Evening Star, The (1996)",58
"472","Event Horizon (1997)",508
"473","Everest (1998)",2
"474","Every Other Weekend (1990)",1
"475","Everyone Says I Love You (1996)",504
"476","Evil Dead II (1987)",356
"477","Evita (1996)",518
"478","Excess Baggage (1997)",104
"479","Executive Decision (1996)",314
"480","Exit to Eden (1994)",16
"481","Exotica (1994)",27
"482","Extreme Measures (1996)",128
"483","Eye for an Eye (1996)",64
"484","Eye of Vichy, The (Oeil de Vichy, L') (1993)",1
"485","Face/Off (1997)",582
"486","Faces (1968)",4
"487","Fair Game (1995)",11
"488","FairyTale: A True Story (1997)",90
"489","Faithful (1996)",10
"490","Fall (1997)",3
"491","Fallen (1998)",123
"492","Falling in Love Again (1980)",2
"493","Family Thing, A (1996)",90
"494","Fan, The (1996)",64
"495","Fantasia (1940)",522
"496","Far From Home: The Adventures of Yellow Dog (1995)",14
"497","Farewell My Concubine (1993)",92
"498","Farewell to Arms, A (1932)",24
"499","Fargo (1996)",1524
"500","Farinelli: il castrato (1994)",34
"501","Farmer & Chase (1995)",1
"502","Fast, Cheap & Out of Control (1997)",32
"503","Faster Pussycat! Kill! Kill! (1965)",21
"504","Fatal Instinct (1993)",19
"505","Father of the Bride (1950)",60
"506","Father of the Bride Part II (1995)",128
"507","Fathers' Day (1997)",31
"508","Faust (1994)",5
"509","Fausto (1993)",3
"510","Favor, The (1994)",2
"511","Fear (1996)",44
"512","Fear of a Black Hat (1993)",10
"513","Fear, The (1995)",1
"514","Fearless (1993)",25
"515","Feast of July (1995)",5
"516","Feeling Minnesota (1996)",64
"517","Female Perversions (1996)",8
"518","Field of Dreams (1989)",212
"519","Fierce Creatures (1997)",96
"520","Fifth Element, The (1997)",394
"521","Fille seule, La (A Single Girl) (1995)",4
"522","Fire Down Below (1997)",132
"523","Fire on the Mountain (1996)",1
"524","Firestorm (1998)",54
"525","Firm, The (1993)",302
"526","First Kid (1996)",80
"527","First Knight (1995)",344
"528","First Wives Club, The (1996)",160
"529","Fish Called Wanda, A (1988)",247
"530","Fled (1996)",68
"531","Flesh and Bone (1993)",18
"532","Flintstones, The (1994)",62
"533","Flipper (1996)",40
"534","Flirt (1995)",5
"535","Flirting With Disaster (1996)",42
"536","Flower of My Secret, The (Flor de mi secreto, La) (1995)",6
"537","Flubber (1997)",159
"538","Fluke (1995)",28
"539","Fly Away Home (1996)",330
"540","Fog, The (1980)",23
"541","Fools Rush In (1997)",48
"542","For Ever Mozart (1996)",3
"543","For Love or Money (1993)",12
"544","For Richer or Poorer (1997)",14
"545","For the Moment (1994)",6
"546","For Whom the Bell Tolls (1943)",40
"547","Forbidden Christ, The (Cristo proibito, Il) (1950)",4
"548","Forbidden Planet (1956)",67
"549","Foreign Correspondent (1940)",15
"550","Foreign Student (1994)",2
"551","Forget Paris (1995)",124
"552","Forrest Gump (1994)",963
"553","Four Days in September (1997)",12
"554","Four Rooms (1995)",90
"555","Four Weddings and a Funeral (1994)",502
"556","Fox and the Hound, The (1981)",122
"557","Foxfire (1996)",15
"558","Frankie Starlight (1995)",8
"559","Free Willy (1993)",99
"560","Free Willy 2: The Adventure Home (1995)",33
"561","Free Willy 3: The Rescue (1997)",81
"562","Freeway (1996)",42
"563","French Kiss (1995)",168
"564","French Twist (Gazon maudit) (1995)",78
"565","Fresh (1994)",10
"566","Friday (1995)",26
"567","Fried Green Tomatoes (1991)",153
"568","Frighteners, The (1996)",230
"569","Frisk (1995)",3
"570","From Dusk Till Dawn (1996)",460
"571","Fugitive, The (1993)",672
"572","Full Metal Jacket (1987)",510
"573","Full Monty, The (1997)",315
"574","Full Speed (1996)",8
"575","Funeral, The (1996)",21
"576","Funny Face (1957)",42
"577","Further Gesture, A (1996)",1
"578","G.I. Jane (1997)",525
"579","Gabbeh (1996)",6
"580","Game, The (1997)",502
"581","Gandhi (1982)",195
"582","Gang Related (1997)",16
"583","Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",24
"584","Gaslight (1944)",70
"585","Gate of Heavenly Peace, The (1995)",1
"586","Gattaca (1997)",408
"587","Gay Divorcee, The (1934)",45
"588","George of the Jungle (1997)",324
"589","Georgia (1995)",30
"590","Germinal (1993)",4
"591","Geronimo: An American Legend (1993)",18
"592","Get on the Bus (1996)",38
"593","Get Shorty (1995)",627
"594","Getaway, The (1994)",18
"595","Getting Away With Murder (1996)",1
"596","Getting Even with Dad (1994)",5
"597","Ghost (1990)",510
"598","Ghost and Mrs. Muir, The (1947)",86
"599","Ghost and the Darkness, The (1996)",256
"600","Ghost in the Shell (Kokaku kidotai) (1995)",52
"601","Ghosts of Mississippi (1996)",29
"602","Giant (1956)",51
"603","Gigi (1958)",41
"604","Gilligan's Island: The Movie (1998)",3
"605","Girl 6 (1996)",25
"606","Girl in the Cadillac (1995)",1
"607","Girls Town (1996)",1
"608","Glass Shield, The (1994)",2
"609","Glengarry Glen Ross (1992)",69
"610","Glimmer Man, The (1996)",96
"611","Glory (1989)",513
"612","Go Fish (1994)",30
"613","Godfather, The (1972)",1239
"614","Godfather: Part II, The (1974)",627
"615","Gold Diggers: The Secret of Bear Mountain (1995)",20
"616","Golden Earrings (1947)",4
"617","GoldenEye (1995)",393
"618","Gone Fishin' (1997)",11
"619","Gone with the Wind (1939)",513
"620","Good Man in Africa, A (1994)",4
"621","Good Will Hunting (1997)",198
"622","Good, The Bad and The Ugly, The (1966)",274
"623","GoodFellas (1990)",452
"624","Goofy Movie, A (1995)",80
"625","Gordy (1995)",3
"626","Grace of My Heart (1996)",16
"627","Graduate, The (1967)",478
"628","Grand Day Out, A (1992)",132
"629","Grass Harp, The (1995)",9
"630","Grateful Dead (1995)",4
"631","Grease (1978)",510
"632","Grease 2 (1982)",72
"633","Great Day in Harlem, A (1994)",1
"634","Great Dictator, The (1940)",46
"635","Great Escape, The (1963)",248
"636","Great Expectations (1998)",54
"637","Great Race, The (1965)",62
"638","Great White Hype, The (1996)",49
"639","Gridlock'd (1997)",19
"640","Grifters, The (1990)",267
"641","Grosse Fatigue (1994)",4
"642","Grosse Pointe Blank (1997)",320
"643","Groundhog Day (1993)",560
"644","Grumpier Old Men (1995)",296
"645","Guantanamera (1994)",4
"646","Guilty as Sin (1993)",18
"647","Gumby: The Movie (1995)",10
"648","Hackers (1995)",99
"649","Half Baked (1998)",20
"650","Halloween: The Curse of Michael Myers (1995)",50
"651","Hamlet (1996)",90
"652","Hana-bi (1997)",3
"653","Happy Gilmore (1996)",149
"654","Hard Eight (1996)",30
"655","Hard Rain (1998)",62
"656","Hard Target (1993)",160
"657","Harlem (1993)",4
"658","Harold and Maude (1971)",121
"659","Harriet the Spy (1996)",80
"660","Hate (Haine, La) (1995)",18
"661","Haunted World of Edward D. Wood Jr., The (1995)",15
"662","He Walked by Night (1948)",3
"663","Head Above Water (1996)",8
"664","Hear My Song (1991)",8
"665","Hearts and Minds (1996)",5
"666","Heat (1995)",669
"667","Heathers (1989)",171
"668","Heaven & Earth (1993)",27
"669","Heaven's Prisoners (1996)",54
"670","Heavenly Creatures (1994)",210
"671","Heavy (1995)",10
"672","Heavy Metal (1981)",365
"673","Heavyweights (1994)",26
"674","Hedd Wyn (1992)",1
"675","Heidi Fleiss: Hollywood Madam (1995) ",13
"676","Hellraiser: Bloodline (1996)",54
"677","Henry V (1989)",248
"678","Herbie Rides Again (1974)",33
"679","Hercules (1997)",330
"680","Here Comes Cookie (1935)",1
"681","Hideaway (1995)",9
"682","High Noon (1952)",88
"683","High School High (1996)",29
"684","Higher Learning (1995)",30
"685","Highlander (1986)",306
"686","Highlander III: The Sorcerer (1994)",32
"687","His Girl Friday (1940)",56
"688","Hollow Reed (1996)",6
"689","Homage (1995)",1
"690","Home Alone (1990)",274
"691","Home Alone 3 (1997)",38
"692","Home for the Holidays (1995)",116
"693","Homeward Bound II: Lost in San Francisco (1996)",64
"694","Homeward Bound: The Incredible Journey (1993)",122
"695","Hoodlum (1997)",219
"696","Hoop Dreams (1994)",117
"697","Horse Whisperer, The (1998)",7
"698","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",9
"699","Hostile Intentions (1994)",3
"700","Hot Shots! Part Deux (1993)",204
"701","Hotel de Love (1996)",8
"702","Hour of the Pig, The (1993)",28
"703","House Arrest (1996)",25
"704","House of the Spirits, The (1993)",48
"705","House of Yes, The (1997)",54
"706","House Party 3 (1994)",9
"707","Houseguest (1994)",24
"708","How to Be a Player (1997)",21
"709","How to Make an American Quilt (1995)",142
"710","Howling, The (1981)",76
"711","Hudsucker Proxy, The (1994)",220
"712","Hugo Pool (1997)",7
"713","Hunchback of Notre Dame, The (1996)",381
"714","Hungarian Fairy Tale, A (1987)",1
"715","Hunt for Red October, The (1990)",454
"716","Hunted, The (1995)",3
"717","Hurricane Streets (1998)",10
"718","Hush (1998)",1
"719","I Can't Sleep (J'ai pas sommeil) (1994)",6
"720","I Don't Want to Talk About It (De eso no se habla) (1993)",1
"721","I Know What You Did Last Summer (1997)",300
"722","I Like It Like That (1994)",9
"723","I Love Trouble (1994)",20
"724","I Shot Andy Warhol (1996)",37
"725","I, Worst of All (Yo, la peor de todas) (1990)",1
"726","I.Q. (1994)",162
"727","I'll Do Anything (1994)",20
"728","I'm Not Rappaport (1996)",17
"729","Ice Storm, The (1997)",102
"730","If Lucy Fell (1996)",58
"731","Ill Gotten Gains (1997)",3
"732","Immortal Beloved (1994)",126
"733","In & Out (1997)",230
"734","In Love and War (1996)",56
"735","In the Army Now (1994)",36
"736","In the Bleak Midwinter (1995)",16
"737","In the Company of Men (1997)",66
"738","In the Line of Duty 2 (1987)",4
"739","In the Line of Fire (1993)",338
"740","In the Mouth of Madness (1995)",52
"741","In the Name of the Father (1993)",102
"742","In the Realm of the Senses (Ai no corrida) (1976)",9
"743","Incognito (1997)",20
"744","Independence Day (ID4) (1996)",1287
"745","Indian in the Cupboard, The (1995)",117
"746","Indian Summer (1996)",40
"747","Indiana Jones and the Last Crusade (1989)",662
"748","Infinity (1996)",6
"749","Inkwell, The (1994)",6
"750","Innocent Sleep, The (1995)",2
"751","Innocents, The (1961)",4
"752","Inspector General, The (1949)",18
"753","Interview with the Vampire (1994)",274
"754","Intimate Relations (1996)",2
"755","Inventing the Abbotts (1997)",46
"756","Invitation, The (Zaproszenie) (1986)",1
"757","Island of Dr. Moreau, The (1996)",114
"758","It Could Happen to You (1994)",92
"759","It Happened One Night (1934)",81
"760","It Takes Two (1995)",3
"761","It's a Wonderful Life (1946)",231
"762","It's My Party (1995)",21
"763","Jack (1996)",140
"764","Jack and Sarah (1995)",7
"765","Jackal, The (1997)",174
"766","Jackie Brown (1997)",252
"767","Jackie Chan's First Strike (1996)",145
"768","Jade (1995)",17
"769","James and the Giant Peach (1996)",378
"770","Jane Eyre (1996)",126
"771","Jason's Lyric (1994)",16
"772","Jaws (1975)",560
"773","Jaws 2 (1978)",132
"774","Jaws 3-D (1983)",32
"775","Jean de Florette (1986)",64
"776","Jefferson in Paris (1995)",5
