"","movienames","rating","wrating","mrating","wmedian","mmedian","times"
"186","Blink (1994)",3,3.07142857142857,2.8,3,3,19
"187","Bliss (1997)",2.57142857142857,3,2,2,4,14
"188","Blob, The (1958)",2.71739130434783,2.75675675675676,2.55555555555556,2,3,92
"189","Blood & Wine (1997)",2.86363636363636,2.94444444444444,2.5,3,4,22
"190","Blood Beach (1981)",2.16666666666667,2,2.33333333333333,NA,2.5,12
"191","Blood For Dracula (Andy Warhol's Dracula) (1974)",2.4,2.75,1,NA,2.5,5
"192","Bloodsport 2 (1995)",1.7,1.875,1,1,2,10
"193","Bloody Child, The (1996)",1,1,NA,NA,1,2
"194","Blown Away (1994)",2.75862068965517,2.81481481481481,2,2,3,58
"195","Blue Angel, The (Blaue Engel, Der) (1930)",3.77777777777778,3.82352941176471,3,NA,4,18
"196","Blue Chips (1994)",2.66666666666667,2.57142857142857,3,2,3,9
"197","Blue in the Face (1995)",3.17777777777778,3.31428571428571,2.7,2,3,45
"198","Blue Sky (1994)",3.41666666666667,3.25,3.75,4,3,24
"199","Blues Brothers 2000 (1998)",2.82142857142857,3.15789473684211,2.11111111111111,1,3.5,84
"200","Blues Brothers, The (1980)",3.83665338645418,3.84878048780488,3.78260869565217,3.5,4,753
"201","Bob Roberts (1992)",3.74117647058824,3.70769230769231,3.85,4,4,85
"202","Body Parts (1991)",1.61538461538462,1.77777777777778,1.25,NA,1,13
"203","Body Snatcher, The (1945)",3.5,3.53333333333333,3.42857142857143,3,4,22
"204","Body Snatchers (1993)",3,3.11320754716981,2.57142857142857,3,3,201
"205","Bogus (1996)",2.54545454545455,2.42857142857143,2.75,3,3,66
"206","Bonheur, Le (1965)",2,2,2,NA,NA,4
"207","Bonnie and Clyde (1967)",3.81967213114754,3.76923076923077,3.96774193548387,4,4,244
"208","Boogie Nights (1997)",3.58730158730159,3.62328767123288,3.46511627906977,3,4,189
"209","Boomerang (1992)",2.8125,2.69565217391304,3.11111111111111,3,2,64
"210","Boot, Das (1981)",4.20398009950249,4.22981366459627,4.1,4,4,603
"211","Booty Call (1997)",2.16666666666667,2.19444444444444,2.08333333333333,1,2,96
"212","Bottle Rocket (1996)",3.45454545454545,3.52631578947368,3,3,4,44
"213","Bound (1996)",3.82170542635659,3.875,3.6,4,4,516
"214","Boxing Helena (1993)",2.2,2.375,2,2,3.5,45
"215","Boy's Life 2 (1997)",3.33333333333333,4.25,1.5,NA,4.5,6
"216","Boys (1996)",3.33333333333333,3,4,NA,NA,6
"217","Boys in Venice (1996)",1,1,1,NA,NA,2
"218","Boys Life (1995)",3.2,3,3.5,4,4,5
"219","Boys of St. Vincent, The (1993)",3.38461538461538,3.5,3.2,4.5,4,13
"220","Boys on the Side (1995)",3.14705882352941,2.81818181818182,3.30434782608696,3,3,68
"221","Boys, Les (1997)",3.33333333333333,3.33333333333333,NA,NA,4,3
"222","Brady Bunch Movie, The (1995)",2.80263157894737,2.65384615384615,3.125,3,3,76
"223","Braindead (1992)",3.85714285714286,4,3,NA,1,28
"224","Bram Stoker's Dracula (1992)",3.15833333333333,3.16304347826087,3.14285714285714,3,3,240
"225","Brassed Off (1996)",3.9375,3.86363636363636,4.1,5,4,96
"226","Braveheart (1995)",4.15151515151515,4.15811965811966,4.12698412698413,5,4,891
"227","Brazil (1985)",3.81730769230769,3.85632183908046,3.61764705882353,3,4,208
"228","Bread and Chocolate (Pane e cioccolata) (1973)",3.16666666666667,3.4,2,3,4,12
"229","Breakdown (1997)",3.4025974025974,3.40322580645161,3.4,3,4,154
"230","Breakfast at Tiffany's (1961)",3.72631578947368,3.52459016393443,4.08823529411765,4,4,190
"231","Breaking the Waves (1996)",3.72972972972973,3.62264150943396,4,4,4,74
"232","Bride of Frankenstein (1935)",3.60869565217391,3.59459459459459,3.66666666666667,3.5,3,46
"233","Bridge on the River Kwai, The (1957)",4.17575757575758,4.30769230769231,3.68571428571429,4,4,330
"234","Bridges of Madison County, The (1995)",3.16417910447761,3.14634146341463,3.19230769230769,3,3,134
"235","Bringing Up Baby (1938)",3.83823529411765,3.8936170212766,3.71428571428571,4,4,68
"236","Broken Arrow (1996)",3.03149606299213,2.98514851485149,3.21153846153846,3,3,508
"237","Broken English (1996)",2.25,2,2.66666666666667,3,2,8
"238","Bronx Tale, A (1993)",3.79166666666667,3.80487804878049,3.71428571428571,3.5,4,48
"239","Brother Minister: The Assassination of Malcolm X (1994)",3,3,3,4,1,5
"240","Brother's Kiss, A (1997)",2,NA,2,NA,NA,1
"241","Brothers in Trouble (1995)",4,NA,4,4,NA,1
"242","Brothers McMullen, The (1995)",3.45205479452055,3.57446808510638,3.23076923076923,3,3,73
"243","Browning Version, The (1994)",3,3.5,2.25,4,4,10
"244","Buddy (1997)",2.25,2,3,NA,2,12
"245","Bulletproof (1996)",3.20408163265306,3.11627906976744,3.83333333333333,NA,3,49
"246","Bullets Over Broadway (1994)",3.72093023255814,3.71428571428571,3.73913043478261,4,4,86
"247","Burnt By the Sun (1994)",3.70833333333333,4.06666666666667,3.11111111111111,3,4,24
"248","Burnt Offerings (1976)",2.44444444444444,2.2,2.75,4,2,9
"249","Bushwhacked (1995)",1.57142857142857,1.66666666666667,1,NA,NA,7
"250","Butch Cassidy and the Sundance Kid (1969)",3.94907407407407,3.97058823529412,3.8695652173913,4,4,648
"251","Butcher Boy, The (1998)",4,NA,4,4,NA,1
"252","Butterfly Kiss (1995)",1,1,NA,NA,NA,1
"253","Bye Bye, Love (1995)",3.13333333333333,3.2,3,4,3,15
"254","C'est arrivé près de chez vous (1992)",3,3.66666666666667,1,NA,NA,12
"255","Cabin Boy (1994)",2.5625,2.1,3.33333333333333,3,3.5,16
"256","Cable Guy, The (1996)",2.33962264150943,2.44303797468354,2.03703703703704,1.5,2,106
"257","Calendar Girl (1993)",2,3,1.5,NA,NA,3
"258","Canadian Bacon (1994)",2.41379310344828,2.39130434782609,2.5,3,3,58
"259","Candidate, The (1972)",3.64102564102564,3.73333333333333,3.33333333333333,3,4,39
"260","Candyman (1992)",2.72307692307692,2.59615384615385,3.23076923076923,3,3,65
"261","Candyman: Farewell to the Flesh (1995)",2.42857142857143,2.55555555555556,1.66666666666667,NA,3,21
"262","Cape Fear (1962)",3.52325581395349,3.55737704918033,3.44,4,4,172
"263","Cape Fear (1991)",3.45614035087719,3.46666666666667,3.41666666666667,3.5,3,171
"264","Captives (1994)",2.33333333333333,2.33333333333333,NA,NA,NA,3
"265","Career Girls (1997)",3.25641025641026,3.3,3.11111111111111,3.5,3,39
"266","Careful (1992)",1,NA,1,NA,NA,1
"267","Carlito's Way (1993)",3.40740740740741,3.45833333333333,3,3,3,108
"268","Carmen Miranda: Bananas Is My Business (1994)",1.5,2,1,NA,2,2
"269","Caro Diario (Dear Diary) (1994)",2.75,2.66666666666667,3,3,3,8
"270","Carpool (1996)",2.8,2.5,4,NA,3,10
"271","Carrie (1976)",3.50413223140496,3.46666666666667,3.61290322580645,4,4,121
"272","Carried Away (1996)",3,3.25,2.85714285714286,3,4,22
"273","Carrington (1995)",3.23076923076923,2.75,3.44444444444444,4,3,26
"274","Casablanca (1942)",4.45679012345679,4.47340425531915,4.4,5,5,729
"275","Casino (1995)",3.64835164835165,3.79166666666667,3.10526315789474,3,4,91
"276","Casper (1995)",3.07692307692308,2.92307692307692,3.53846153846154,3,3,104
"277","Castle Freak (1995)",1.25,1.33333333333333,1,NA,1,4
"278","Cat on a Hot Tin Roof (1958)",3.95161290322581,3.84615384615385,4.1304347826087,4,4,62
"279","Cat People (1982)",2.89583333333333,2.89473684210526,2.9,2.5,3,48
"280","Cats Don't Dance (1997)",2.84375,2.73913043478261,3.11111111111111,5,3,96
"281","Catwalk (1995)",1.33333333333333,1.5,1,NA,NA,3
"282","Caught (1996)",3.25,3,4,4,3,16
"283","Celestial Clockwork (1994)",4,4,4,NA,4,2
"284","Celluloid Closet, The (1995)",3.89285714285714,3.78571428571429,4.21428571428571,4,4,56
"285","Celtic Pride (1996)",2.2,2.16666666666667,2.33333333333333,3,3,15
"286","Cement Garden, The (1993)",3.6,3.75,3,3,3.5,10
"287","Cemetery Man (Dellamorte Dellamore) (1994)",2.8695652173913,2.95454545454545,1,1,2,46
"288","Century (1993)",3,3,NA,NA,3,1
"289","Chain Reaction (1996)",2.7,2.66153846153846,2.86666666666667,2,3,240
"290","Chairman of the Board (1998)",2.375,1.83333333333333,4,5,1,8
"291","Chamber, The (1996)",3.09302325581395,3,3.28571428571429,4,3,43
"292","Charade (1963)",3.925,4.03448275862069,3.63636363636364,4,4,160
"293","Chasers (1994)",2.2,2.25,2,NA,3,5
"294","Chasing Amy (1997)",3.80718954248366,3.80851063829787,3.80281690140845,4,4,612
"295","Children of the Corn: The Gathering (1996)",1.31578947368421,1.14285714285714,1.8,1,1,19
"296","Children of the Revolution (1996)",3.2,3.5,3,3,4,5
"297","Chinatown (1974)",4.13605442176871,4.15384615384615,4.06666666666667,4,4,441
"298","Christmas Carol, A (1938)",4.05797101449275,3.86363636363636,4.4,5,4,69
"299","Chungking Express (1994)",3.57142857142857,3.5,3.83333333333333,3.5,3,84
"300","Ciao, Professore! (1993)",2.75,3,2,2,2.5,4
"301","Cinderella (1950)",3.58139534883721,3.43529411764706,3.86363636363636,4,3,387
"302","Cinema Paradiso (1988)",4.17355371900826,4.19318181818182,4.12121212121212,5,4,363
"303","Circle of Friends (1995)",3.48684210526316,3.48717948717949,3.48648648648649,4,3.5,152
"304","Citizen Kane (1941)",4.29292929292929,4.31446540880503,4.20512820512821,4,5,198
"305","Citizen Ruth (1996)",3.62222222222222,3.57575757575758,3.75,3,4,90
"306","City Hall (1996)",3.13924050632911,3.07017543859649,3.31818181818182,3,3,158
"307","City of Angels (1998)",3,2.8,3.33333333333333,2,3,8
"308","City of Industry (1997)",2.5,2.6,2,NA,4,12
"309","City of Lost Children, The (1995)",3.79166666666667,3.75,4,4.5,3,192
"310","City Slickers II: The Legend of Curly's Gold (1994)",2.54545454545455,2.41666666666667,3.125,4,2.5,88
"311","Clean Slate (1994)",2.8,3,2,NA,NA,10
"312","Clean Slate (Coup de Torchon) (1981)",2.75,4,1.5,2,4,4
"313","Clear and Present Danger (1994)",3.56983240223464,3.56849315068493,3.57575757575758,4,4,537
"314","Clerks (1994)",3.80405405405405,3.91379310344828,3.40625,3,4,148
"315","Client, The (1994)",3.38144329896907,3.3030303030303,3.54838709677419,4,4,291
"316","Cliffhanger (1993)",3.02150537634409,2.98717948717949,3.2,3,3,279
"317","Clockers (1995)",3,3.11111111111111,2.5,2,3,33
"318","Clockwork Orange, A (1971)",3.90950226244344,4.01675977653631,3.45238095238095,4,4,221
"319","Close Shave, A (1995)",4.49107142857143,4.46236559139785,4.63157894736842,5,5,336
"320","Clueless (1995)",3.45882352941176,3.39837398373984,3.61702127659574,3,3,170
"321","Cobb (1994)",2.8,2.81818181818182,2.75,2.5,3,15
"322","Cold Comfort Farm (1995)",3.824,3.71739130434783,4.12121212121212,4,4,125
"323","Coldblooded (1995)",2,2,NA,NA,2,1
"324","Collectionneuse, La (1967)",2,NA,2,3,NA,2
"325","Colonel Chabert, Le (1994)",3.5,3.5,NA,NA,3.5,12
"326","Color of Night (1994)",2.73333333333333,2.69230769230769,3,2,3,30
"327","Commandments (1997)",2.66666666666667,3,2.5,NA,NA,3
"328","Con Air (1997)",3.45985401459854,3.43119266055046,3.57142857142857,3,3,411
"329","Conan the Barbarian (1981)",3.04672897196262,3.13333333333333,2.58823529411765,2.5,3,214
"330","Condition Red (1995)",2,3,1,NA,3,6
"331","Coneheads (1993)",2.21951219512195,2.23529411764706,2.14285714285714,2.5,2,82
"332","Congo (1995)",2.45238095238095,2.35483870967742,2.72727272727273,3,2,168
"333","Conspiracy Theory (1997)",3.42372881355932,3.41904761904762,3.43529411764706,3,4,1180
"334","Contact (1997)",3.80353634577603,3.84677419354839,3.68613138686131,4,4,1018
"335","Contempt (Mépris, Le) (1963)",3,3,3,3,4,9
"336","Convent, The (Convento, O) (1995)",2.5,2.5,NA,NA,4,2
"337","Cook the Thief His Wife & Her Lover, The (1989)",3.02439024390244,3.19402985074627,2.26666666666667,2,3,82
"338","Cool Hand Luke (1967)",3.99390243902439,4.07407407407407,3.62068965517241,4,4,328
"339","Cool Runnings (1993)",3.16176470588235,3,3.52380952380952,4,3,68
"340","Cop Land (1997)",3.37714285714286,3.45522388059702,3.1219512195122,3,4,525
"341","Cops and Robbersons (1994)",2.30769230769231,2.33333333333333,2.25,NA,3,13
"342","Copycat (1995)",3.30232558139535,3.140625,3.77272727272727,4,3,258
"343","Corrina, Corrina (1994)",3.15384615384615,2.94444444444444,3.33333333333333,3,3,117
"344","Cosi (1996)",4,4.33333333333333,3,NA,4,4
"345","Country Life (1994)",1.5,1,2,NA,1,4
"346","Courage Under Fire (1996)",3.61085972850679,3.5679012345679,3.72881355932203,4,4,442
"347","Cowboy Way, The (1994)",2.21052631578947,2.17647058823529,2.5,1,2,38
"348","Craft, The (1996)",3.11538461538462,3.01388888888889,3.34375,3,3,208
"349","Crash (1996)",2.546875,2.55670103092783,2.51612903225806,2,2,256
