"","names","rating","sex"
"267","Carlito's Way (1993)",3,"F"
"268","Carmen Miranda: Bananas Is My Business (1994)",1,"F"
"269","Caro Diario (Dear Diary) (1994)",3,"F"
"270","Carpool (1996)",4,"F"
"271","Carrie (1976)",3.61290322580645,"F"
"272","Carried Away (1996)",2.85714285714286,"F"
"273","Carrington (1995)",3.44444444444444,"F"
"274","Casablanca (1942)",4.4,"F"
"275","Casino (1995)",3.10526315789474,"F"
"276","Casper (1995)",3.53846153846154,"F"
"277","Castle Freak (1995)",1,"F"
"278","Cat on a Hot Tin Roof (1958)",4.1304347826087,"F"
"279","Cat People (1982)",2.9,"F"
"280","Cats Don't Dance (1997)",3.11111111111111,"F"
"281","Catwalk (1995)",1,"F"
"282","Caught (1996)",4,"F"
"283","Celestial Clockwork (1994)",4,"F"
"284","Celluloid Closet, The (1995)",4.21428571428571,"F"
"285","Celtic Pride (1996)",2.33333333333333,"F"
"286","Cement Garden, The (1993)",3,"F"
"287","Cemetery Man (Dellamorte Dellamore) (1994)",1,"F"
"288","Century (1993)",NA,"F"
"289","Chain Reaction (1996)",2.86666666666667,"F"
"290","Chairman of the Board (1998)",4,"F"
"291","Chamber, The (1996)",3.28571428571429,"F"
"292","Charade (1963)",3.63636363636364,"F"
"293","Chasers (1994)",2,"F"
"294","Chasing Amy (1997)",3.80281690140845,"F"
"295","Children of the Corn: The Gathering (1996)",1.8,"F"
"296","Children of the Revolution (1996)",3,"F"
"297","Chinatown (1974)",4.06666666666667,"F"
"298","Christmas Carol, A (1938)",4.4,"F"
"299","Chungking Express (1994)",3.83333333333333,"F"
"300","Ciao, Professore! (1993)",2,"F"
"301","Cinderella (1950)",3.86363636363636,"F"
"302","Cinema Paradiso (1988)",4.12121212121212,"F"
"303","Circle of Friends (1995)",3.48648648648649,"F"
"304","Citizen Kane (1941)",4.20512820512821,"F"
"305","Citizen Ruth (1996)",3.75,"F"
"306","City Hall (1996)",3.31818181818182,"F"
"307","City of Angels (1998)",3.33333333333333,"F"
"308","City of Industry (1997)",2,"F"
"309","City of Lost Children, The (1995)",4,"F"
"310","City Slickers II: The Legend of Curly's Gold (1994)",3.125,"F"
"311","Clean Slate (1994)",2,"F"
"312","Clean Slate (Coup de Torchon) (1981)",1.5,"F"
"313","Clear and Present Danger (1994)",3.57575757575758,"F"
"314","Clerks (1994)",3.40625,"F"
"315","Client, The (1994)",3.54838709677419,"F"
"316","Cliffhanger (1993)",3.2,"F"
"317","Clockers (1995)",2.5,"F"
"318","Clockwork Orange, A (1971)",3.45238095238095,"F"
"319","Close Shave, A (1995)",4.63157894736842,"F"
"320","Clueless (1995)",3.61702127659574,"F"
"321","Cobb (1994)",2.75,"F"
"322","Cold Comfort Farm (1995)",4.12121212121212,"F"
"323","Coldblooded (1995)",NA,"F"
"324","Collectionneuse, La (1967)",2,"F"
"325","Colonel Chabert, Le (1994)",NA,"F"
"326","Color of Night (1994)",3,"F"
"327","Commandments (1997)",2.5,"F"
"328","Con Air (1997)",3.57142857142857,"F"
"329","Conan the Barbarian (1981)",2.58823529411765,"F"
"330","Condition Red (1995)",1,"F"
"331","Coneheads (1993)",2.14285714285714,"F"
"332","Congo (1995)",2.72727272727273,"F"
"333","Conspiracy Theory (1997)",3.43529411764706,"F"
"334","Contact (1997)",3.68613138686131,"F"
"335","Contempt (Mépris, Le) (1963)",3,"F"
"336","Convent, The (Convento, O) (1995)",NA,"F"
"337","Cook the Thief His Wife & Her Lover, The (1989)",2.26666666666667,"F"
"338","Cool Hand Luke (1967)",3.62068965517241,"F"
"339","Cool Runnings (1993)",3.52380952380952,"F"
"340","Cop Land (1997)",3.1219512195122,"F"
"341","Cops and Robbersons (1994)",2.25,"F"
"342","Copycat (1995)",3.77272727272727,"F"
"343","Corrina, Corrina (1994)",3.33333333333333,"F"
"344","Cosi (1996)",3,"F"
"345","Country Life (1994)",2,"F"
"346","Courage Under Fire (1996)",3.72881355932203,"F"
"347","Cowboy Way, The (1994)",2.5,"F"
"348","Craft, The (1996)",3.34375,"F"
"349","Crash (1996)",2.51612903225806,"F"
"350","Crimson Tide (1995)",3.65217391304348,"F"
"351","Critical Care (1997)",3.33333333333333,"F"
"352","Cronos (1992)",3,"F"
"353","Crooklyn (1994)",2.66666666666667,"F"
"354","Crossfire (1947)",NA,"F"
"355","Crossing Guard, The (1995)",4,"F"
"356","Crow, The (1994)",3.28571428571429,"F"
"357","Crow: City of Angels, The (1996)",1.625,"F"
"358","Crows and Sparrows (1949)",NA,"F"
"359","Crucible, The (1996)",3.5,"F"
"360","Crude Oasis, The (1995)",NA,"F"
"361","Crumb (1994)",3.3125,"F"
"362","Cry, the Beloved Country (1995)",4.125,"F"
"363","Crying Game, The (1992)",3.9375,"F"
"364","Curdled (1996)",3,"F"
"365","Cure, The (1995)",3,"F"
"366","Cutthroat Island (1995)",3,"F"
"367","Cyclo (1995)",NA,"F"
"368","Cyrano de Bergerac (1990)",3.46666666666667,"F"
"369","Cérémonie, La (1995)",4,"F"
"370","D3: The Mighty Ducks (1996)",3,"F"
"371","Dadetown (1995)",3,"F"
"372","Daens (1992)",1,"F"
"373","Damsel in Distress, A (1937)",NA,"F"
"374","Dances with Wolves (1990)",3.85507246376812,"F"
"375","Dangerous Beauty (1998)",4,"F"
"376","Dangerous Ground (1997)",3,"F"
"377","Dangerous Minds (1995)",3.92307692307692,"F"
"378","Daniel Defoe's Robinson Crusoe (1996)",NA,"F"
"379","Dante's Peak (1997)",3.04109589041096,"F"
"380","Dark City (1998)",3,"F"
"381","Dave (1993)",3.75,"F"
"382","Davy Crockett, King of the Wild Frontier (1955)",1.5,"F"
"383","Day the Earth Stood Still, The (1951)",3.8,"F"
"384","Day the Sun Turned Cold, The (Tianguo niezi) (1994)",NA,"F"
"385","Daylight (1996)",3.35714285714286,"F"
"386","Days of Thunder (1990)",2.33333333333333,"F"
"387","Daytrippers, The (1996)",3.5,"F"
"388","Dazed and Confused (1993)",3.5,"F"
"389","Dead Man (1995)",4.125,"F"
"390","Dead Man Walking (1995)",3.92771084337349,"F"
"391","Dead Poets Society (1989)",3.92307692307692,"F"
"392","Dead Presidents (1995)",2,"F"
"393","Dear God (1996)",2.75,"F"
"394","Death and the Maiden (1994)",3.75,"F"
"395","Death in Brunswick (1991)",NA,"F"
"396","Death in the Garden (Mort en ce jardin, La) (1956)",1,"F"
"397","Deceiver (1997)",2.6,"F"
"398","Deconstructing Harry (1997)",3.1875,"F"
"399","Deep Rising (1998)",2.66666666666667,"F"
"400","Deer Hunter, The (1978)",3.5,"F"
"401","Delicatessen (1991)",3.6,"F"
"402","Delta of Venus (1994)",1,"F"
"403","Demolition Man (1993)",3.45454545454545,"F"
"404","Denise Calls Up (1995)",2,"F"
"405","Desert Winds (1995)",NA,"F"
"406","Designated Mourner, The (1997)",1.83333333333333,"F"
"407","Desperado (1995)",3.38461538461538,"F"
"408","Desperate Measures (1998)",3.35,"F"
"409","Destiny Turns on the Radio (1995)",3,"F"
"410","Devil in a Blue Dress (1995)",3,"F"
"411","Devil's Advocate, The (1997)",3.52830188679245,"F"
"412","Devil's Own, The (1997)",3.15492957746479,"F"
"413","Diabolique (1996)",2.91304347826087,"F"
"414","Dial M for Murder (1954)",3.66666666666667,"F"
"415","Die Hard (1988)",3.72340425531915,"F"
"416","Die Hard 2 (1990)",3.30769230769231,"F"
"417","Die Hard: With a Vengeance (1995)",3.15384615384615,"F"
"418","Die xue shuang xiong (Killer, The) (1989)",2.5,"F"
"419","Dingo (1992)",2.5,"F"
"420","Dirty Dancing (1987)",3.66666666666667,"F"
"421","Disclosure (1994)",2.66666666666667,"F"
"422","Diva (1981)",3.26666666666667,"F"
"423","Dolores Claiborne (1994)",3.47826086956522,"F"
"424","Don Juan DeMarco (1995)",3.375,"F"
"425","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",3,"F"
"426","Donnie Brasco (1997)",3.63888888888889,"F"
"427","Doom Generation, The (1995)",3,"F"
"428","Doors, The (1991)",3.07692307692308,"F"
"429","Double Happiness (1994)",2.66666666666667,"F"
"430","Double Team (1997)",3,"F"
"431","Double vie de Véronique, La (Double Life of Veronique, The) (1991)",2.8,"F"
"432","Down by Law (1986)",3.625,"F"
"433","Down Periscope (1996)",2.81818181818182,"F"
"434","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",4.29166666666667,"F"
"435","Dracula: Dead and Loving It (1995)",1.33333333333333,"F"
"436","Dragonheart (1996)",2.94444444444444,"F"
"437","Dream Man (1995)",1.5,"F"
"438","Dream With the Fishes (1997)",2,"F"
"439","Drop Dead Fred (1991)",3.23076923076923,"F"
"440","Drop Zone (1994)",2.6,"F"
"441","Drunks (1995)",2,"F"
"442","Duck Soup (1933)",3.64285714285714,"F"
"443","Dumb & Dumber (1994)",3.4,"F"
"444","Dumbo (1941)",3.65625,"F"
"445","Dunston Checks In (1996)",1,"F"
"446","Duoluo tianshi (1995)",1,"F"
"447","E.T. the Extra-Terrestrial (1982)",3.83908045977011,"F"
"448","East of Eden (1955)",3.84615384615385,"F"
"449","Eat Drink Man Woman (1994)",4.11538461538461,"F"
"450","Ed (1996)",1.5,"F"
"451","Ed Wood (1994)",3.66666666666667,"F"
"452","Ed's Next Move (1996)",3,"F"
"453","Eddie (1996)",2.94117647058824,"F"
"454","Edge, The (1997)",3.20689655172414,"F"
"455","Eighth Day, The (1996)",3,"F"
"456","Emma (1996)",3.8695652173913,"F"
"457","Empire Strikes Back, The (1980)",3.97802197802198,"F"
"458","Enchanted April (1991)",3.74285714285714,"F"
"459","Endless Summer 2, The (1994)",1,"F"
"460","Enfer, L' (1994)",2,"F"
"461","English Patient, The (1996)",3.80921052631579,"F"
"462","Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",2.42857142857143,"F"
"463","Entertaining Angels: The Dorothy Day Story (1996)",NA,"F"
"464","Eraser (1996)",3.25,"F"
"465","Escape from L.A. (1996)",2.8,"F"
"466","Escape from New York (1981)",2.81818181818182,"F"
"467","Escape to Witch Mountain (1975)",3,"F"
"468","Etz Hadomim Tafus (Under the Domin Tree) (1994)",2,"F"
"469","Eve's Bayou (1997)",3.78571428571429,"F"
"470","Even Cowgirls Get the Blues (1993)",1,"F"
"471","Evening Star, The (1996)",3.3125,"F"
"472","Event Horizon (1997)",2.42307692307692,"F"
"473","Everest (1998)",5,"F"
"474","Every Other Weekend (1990)",NA,"F"
"475","Everyone Says I Love You (1996)",3.26315789473684,"F"
"476","Evil Dead II (1987)",3.2,"F"
"477","Evita (1996)",3.06024096385542,"F"
"478","Excess Baggage (1997)",2.68421052631579,"F"
"479","Executive Decision (1996)",3.5625,"F"
"480","Exit to Eden (1994)",2.88888888888889,"F"
"481","Exotica (1994)",3.33333333333333,"F"
"482","Extreme Measures (1996)",3.26666666666667,"F"
"483","Eye for an Eye (1996)",3.15384615384615,"F"
"484","Eye of Vichy, The (Oeil de Vichy, L') (1993)",1,"F"
"485","Face/Off (1997)",3.81632653061224,"F"
"486","Faces (1968)",NA,"F"
"487","Fair Game (1995)",2,"F"
"488","FairyTale: A True Story (1997)",3.07692307692308,"F"
"489","Faithful (1996)",3,"F"
"490","Fall (1997)",2.5,"F"
"491","Fallen (1998)",3.09090909090909,"F"
"492","Falling in Love Again (1980)",NA,"F"
"493","Family Thing, A (1996)",3.5,"F"
"494","Fan, The (1996)",3.6,"F"
"495","Fantasia (1940)",3.98039215686275,"F"
"496","Far From Home: The Adventures of Yellow Dog (1995)",2.66666666666667,"F"
"497","Farewell My Concubine (1993)",4,"F"
"498","Farewell to Arms, A (1932)",3.66666666666667,"F"
"499","Fargo (1996)",4.016,"F"
"500","Farinelli: il castrato (1994)",3,"F"
"501","Farmer & Chase (1995)",NA,"F"
"502","Fast, Cheap & Out of Control (1997)",3.5,"F"
"503","Faster Pussycat! Kill! Kill! (1965)",5,"F"
"504","Fatal Instinct (1993)",2.71428571428571,"F"
"505","Father of the Bride (1950)",3.6875,"F"
"506","Father of the Bride Part II (1995)",3.15909090909091,"F"
"507","Fathers' Day (1997)",2.85714285714286,"F"
"508","Faust (1994)",NA,"F"
"509","Fausto (1993)",2.5,"F"
"510","Favor, The (1994)",NA,"F"
"511","Fear (1996)",3.23076923076923,"F"
"512","Fear of a Black Hat (1993)",4,"F"
"513","Fear, The (1995)",3,"F"
"514","Fearless (1993)",3.33333333333333,"F"
"515","Feast of July (1995)",2,"F"
"516","Feeling Minnesota (1996)",2.83333333333333,"F"
"517","Female Perversions (1996)",2.6,"F"
"518","Field of Dreams (1989)",3.81666666666667,"F"
"519","Fierce Creatures (1997)",2.95454545454545,"F"
"520","Fifth Element, The (1997)",3.07894736842105,"F"
"521","Fille seule, La (A Single Girl) (1995)",3,"F"
"522","Fire Down Below (1997)",2.88888888888889,"F"
"523","Fire on the Mountain (1996)",NA,"F"
"524","Firestorm (1998)",3,"F"
"525","Firm, The (1993)",3.27777777777778,"F"
"526","First Kid (1996)",3.30769230769231,"F"
"527","First Knight (1995)",3.78260869565217,"F"
"528","First Wives Club, The (1996)",3.49152542372881,"F"
"529","Fish Called Wanda, A (1988)",3.78461538461538,"F"
"530","Fled (1996)",2.77777777777778,"F"
"531","Flesh and Bone (1993)",3,"F"
"532","Flintstones, The (1994)",2.33333333333333,"F"
"533","Flipper (1996)",2.875,"F"
"534","Flirt (1995)",3,"F"
"535","Flirting With Disaster (1996)",3.25,"F"
"536","Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.5,"F"
"537","Flubber (1997)",2.5625,"F"
"538","Fluke (1995)",2,"F"
"539","Fly Away Home (1996)",3.6271186440678,"F"
"540","Fog, The (1980)",4,"F"
"541","Fools Rush In (1997)",3.09090909090909,"F"
"542","For Ever Mozart (1996)",2.5,"F"
"543","For Love or Money (1993)",2.66666666666667,"F"
"544","For Richer or Poorer (1997)",2.83333333333333,"F"
"545","For the Moment (1994)",2,"F"
"546","For Whom the Bell Tolls (1943)",3.5,"F"
"547","Forbidden Christ, The (Cristo proibito, Il) (1950)",NA,"F"
"548","Forbidden Planet (1956)",3.45454545454545,"F"
"549","Foreign Correspondent (1940)",5,"F"
"550","Foreign Student (1994)",2,"F"
"551","Forget Paris (1995)",3.33333333333333,"F"
"552","Forrest Gump (1994)",3.77215189873418,"F"
"553","Four Days in September (1997)",3.4,"F"
"554","Four Rooms (1995)",2.6875,"F"
"555","Four Weddings and a Funeral (1994)",3.63492063492063,"F"
"556","Fox and the Hound, The (1981)",3.28571428571429,"F"
"557","Foxfire (1996)",3.25,"F"
"558","Frankie Starlight (1995)",2.66666666666667,"F"
"559","Free Willy (1993)",3,"F"
